recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
545,Lophophelma luteipes,,194583,Geometroidea,Geometridae,Geometrinae,Pseudoterpnini,,Lophophelma
546,Lomographa inamata,,153199,Geometroidea,Geometridae,Ennominae,Baptini,,Lomographa
547,Loepa katinka,Golden Emperor Moth,124687,Bombycoidea,Saturniidae,Saturniinae,Saturniini,,Loepa
548,Leucophlebia lineata,,479682,Bombycoidea,Sphingidae,Smerinthinae,Smerinthini,,Leucophlebia
549,Lamprosema commixta,,125246,Pyraloidea,Crambidae,Spilomelinae,Hydririni,,Lamprosema
550,Lacera procellosa,,335020,Noctuoidea,Erebidae,Erebinae,Hulodini,,Lacera
551,Lacera noctilio,,355437,Noctuoidea,Erebidae,Erebinae,Hulodini,,Lacera
552,Ischyja manlia,Blue Striped Moth,196579,Noctuoidea,Erebidae,Erebinae,,,Ischyja
553,Imma marmarozona,,1264574,Immoidea,Immidae,,,,Imma
554,Imma mackwoodii,,1116744,Immoidea,Immidae,,,,Imma
555,Idaea violacea,,801439,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Idaea
556,Idaea micra,,888372,Geometroidea,Geometridae,Sterrhinae,Sterrhini,,Idaea
557,Hypsopygia nigrivitta,,778243,Pyraloidea,Pyralidae,Pyralinae,Pyralini,,Hypsopygia
558,Hyposidra violescens,,516923,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hyposidra
559,Hyposada hydrocampata,,554644,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,Hyposada
560,Hypena sagitta,,876859,Noctuoidea,Erebidae,Hypeninae,,,Hypena
561,Hypena palparia,Mottled Snout,221969,Noctuoidea,Erebidae,Hypeninae,,,Hypena
562,Hypena lividalis,,330417,Noctuoidea,Erebidae,Hypeninae,,,Hypena
563,Hypena conscitalis,,428872,Noctuoidea,Erebidae,Hypeninae,,,Hypena
564,Homona coffearia,,371607,Tortricoidea,Tortricidae,Tortricinae,Archipini,,Homona
